uri	name	issn	eissn	
	Political Communication	1058-4609		
	Political Geography	0962-6298		
	Political Research Quarterly	1065-9129		
	Political Science Quarterly	0032-3195		
	Political Studies	0032-3217		
	Political Studies Review	1478-9299		
	Politics and Gender	1743-923X		
	Politics and Religion	1755-0483		
	Polity	0032-3497		
	Polyhedron	0277-5387		
	Polymer	0032-3861		
	Polymer Chemistry	1759-9954		
	Polymer Engineering and Science	0032-3888		
	Polymer Reviews	1558-3724		
	Polymers	2073-4360		
	Polymers and Polymer Composites	0967-3911		
	Pomegranate	1528-0268		
	Popular Music	0261-1430		
	Population Ecology	1438-3896		
	Population Health Metrics	1478-7954		
	Population Research and Policy Review	0167-5923		
	Population and Environment	0199-0039		
	Portuguese Studies	0267-5315		
	Postgraduate Medical Journal	0032-5473		
	Postgraduate medicine online	0032-5481		
	Postharvest Biology and Technology	0925-5214		
	Postmedieval-a Journal of Medieval Cultural Studies	2040-5960		
	Postmodern Culture	1053-1920		
	Potato Research	0014-3065		
	Poultry science	0032-5791		
	Powder Technology	0032-5910		
	Power	0032-5929		
	Practical Reviews in Otolaryngology - Head and neck Surgery	1070-4892		
	Practical periodontics and aesthetic dentistry	1534-6846		
	Pramana-Journal of Physics	0304-4289		
	Precambrian Research	0301-9268		
	Precision Agriculture	1385-2256		
	Precision Engineering-Journal of the International Societies for Precision Engineering and Nanotechnology	0141-6359		
	Prehospital Emergency Care	1090-3127		
	Prehospital and Disaster Medicine	1049-023X	1945-1938	
	Presence-Teleoperators and Virtual Environments	1054-7460		
	Preventing chronic disease	1545-1151		
	Prevention Science	1389-4986	1573-6695	
	Prevention and Management of Congestive Heart Failure	1079-7998		
	Prevention science : the official journal of the Society for Prevention Research	1389-4986		
	Preventive Medicine	0091-7435	1096-0260	
	Preventive Veterinary Medicine	0167-5877	1873-1716	
	Preventive cardiology	1520-037X		
	Primary Care	0095-4543		
	Primates	0032-8332		
	Prion	1933-6896		
	Probabilistic Engineering Mechanics	0266-8920		
	Probability Theory and Related Fields	0178-8051		
	Probability in the Engineering and Informational Sciences	0269-9648		
	Proceedings - Soil & Crop Science Society of Florida	0096-4522		
	Proceedings / AMIA ... Annual Symposium. AMIA Symposium	1531-605X		
	Proceedings / AMIA ... Annual Symposium. AMIA Symposium	1531-605X		
	Proceedings / AMIA ... Annual Symposium. AMIA Symposium	1531-605X		
	Proceedings / AMIA ... Annual Symposium. AMIA Symposium	1531-605X		
	Proceedings / AMIA ... Annual Symposium. AMIA Symposium	1531-605X		
	Proceedings / the ... Annual Symposium on Computer Application [sic] in Medical Care. Symposium on Computer Applications in Medical Care	0195-4210		
	Proceedings : a conference of the American Medical Informatics Association / ... AMIA Annual Fall Symposium. AMIA Fall Symposium	1091-8280		
	Proceedings : a conference of the American Medical Informatics Association / ... AMIA Annual Fall Symposium. AMIA Fall Symposium	1091-8280		
	Proceedings of the Academy of Natural Sciences of Philadelphia	0097-3157		
	Proceedings of the American Mathematical Society	Feb-39		
	Proceedings of the American Thoracic Society	1546-3222		
	Proceedings of the Entomological Society of Washington	0013-8797		
	Proceedings of the Geologists Association	0016-7878		
	Proceedings of the IEEE	0018-9219		
	Proceedings of the Institution of Civil Engineers-Municipal Engineer	0965-0903		
	Proceedings of the Institution of Mechanical Engineers Part C-Journal of Mechanical Engineering Science	0954-4062		
	Proceedings of the Institution of Mechanical Engineers Part H-Journal of Engineering in Medicine	0954-4119		
	Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability	1748-006X		
	Proceedings of the London Mathematical Society	0024-6115	1460-244X	
	Proceedings of the National Academy of Sciences	0273-1134	0027-8424	
	Proceedings of the National Academy of Sciences of the United States of America	0027-8424		
	Proceedings of the National Academy of Sciences of the United States of America. Biological Sciences	1091-6490		
	Proceedings of the Nutrition Society	0029-6651		
	Proceedings of the Royal Society A-Mathematical Physical and Engineering Sciences	1364-5021		
	Proceedings of the Society for Experimental Biology and medicine	0037-9727	1525-1373	
	Proceedings of the Steklov Institute of Mathematics	0081-5438		
	Proceedings. Biological Sciences	0962-8452	1471-2954	
	Process Safety and Environmental Protection	0957-5820		
	Production and Operations Management	1059-1478		
	Professional Geographer	0033-0124		
	Professional Psychology-Research and Practice	0735-7028		
	Progress in Aerospace Sciences	0376-0421		
	Progress in Brain Research	0079-6123	1875-7855	
	Progress in Community Health Partnerships-Research Education and Action	1557-0541		
	Progress in Lipid Research	0163-7827		
	Progress in Materials Science	0079-6425		
	Progress in Oceanography	0079-6611		
	Progress in Organic Coatings	0300-9440		
	Progress in Photovoltaics	1062-7995		
	Progress in Physical Geography	0309-1333		
	Progress in Polymer Science	0079-6700		
	Progress in Retinal and Eye Research	1350-9462		
	Progress in cardiovascular nursing	0889-7204		
	Progress in drug research	0071-786X		
	Progress in neuro-psychopharmacology & biological psychiatry	0278-5846		
	Progress in neurobiology	0301-0082		
	Progress in neurological surgery	0079-6492		
	"Progress in transplantation official publication	 North American Transplant Coordinators Organization"	1526-9248		
	Progress of Theoretical Physics Supplement	0375-9687		
	Propagation of Ornamental Plants	1311-9109		
	Prostaglandins Leukotrienes and Essential Fatty Acids	0952-3278		
	Prostate	0270-4137		
	Protein Engineering Design and Selection	1741-0126		
	Protein Expression and Purification	1046-5928		
	Protein Journal	1572-3887		
	Protein Science	0961-8368		
	Protein and Cell	1674-800X		
	Protein and Peptide Letters	0929-8665		
	Proteins	1097-0134		
	Proteins-Structure Function and Bioinformatics	0887-3585		
	Proteomics	1615-9853		
	Proteomics Clinical Applications	1862-8346		
	Protist	1434-4610		
	Protoplasma	0033-183X		
	Ps-Political Science and Politics	1049-0965		
	Psicologia-Reflexao E Critica	0102-7972		
	Psychiatric Annals	0048-5713		
	Psychiatric Genetics	0955-8829		
	Psychiatric Services	1075-2730	1557-9700	
	Psychiatric clinics of North America	0193-953X		
	Psychiatry Research-Neuroimaging	0925-4927	1872-7506	
	Psychiatry research	0165-1781		
	Psychiatry-Interpersonal and Biological Processes	0033-2747		
	Psycho-oncology	1057-9249		
	Psychoanalytic Psychology	0736-9735		
	Psychogeriatrics	1346-3500		
	Psychologia	0033-2852		
	Psychological Record	0033-2933		
	Psychological Science	0956-7976	1467-9280	
	Psychological Services	1541-1559		
	Psychological Trauma-Theory Research Practice and Policy	1942-9681		
	Psychological assessment	1040-3590		
	Psychological bulletin	0033-2909		
	Psychological methods	1082-989X		
	Psychological reports	0033-2941		
	Psychologist	0952-8229		
	Psychology Crime and Law	1068-316X		
	Psychology Health and Medicine	1354-8506		
	Psychology Public Policy and Law	1076-8971		
	Psychology Science Quarterly	1866-6140		
	Psychology and Health	0887-0446	1476-8321	
	Psychology and Marketing	0742-6046		
	Psychology and aging	0882-7974		
	"Psychology and psychotherapy : theory	 research and practice"	0007-1129		
	Psychology in the Schools	0033-3085		
	Psychology of Addictive Behaviors	0893-164X	1939-1501	
	Psychology of Aesthetics Creativity and the Arts	1931-3896		
	Psychology of Men and Masculinity	1524-9220		
	Psychology of Religion and Spirituality	1941-1022		
	Psychology of Sport and Exercise	1469-0292		
	Psychology of Women Quarterly	0361-6843		
	Psychoneuroendocrinology	0306-4530		
	Psychonomic bulletin & review	1069-9384		
	Psychopharmacologia	0033-3158		
	Psychopharmacology Bulletin	0048-5764		
	Psychophysiology	0048-5772	1469-8986	
	Psychosomatic Medicine	0033-3174	1534-7796	
	Psychosomatics	0033-3182		
	Psychotherapy	0033-3204		
	Psychotherapy Research	1050-3307		
	Psychotherapy and Psychosomatics	0033-3190		
	Public Administration	0033-3298		
	Public Administration Review	0033-3352		
	Public Choice	0048-5829		
	Public Health	0033-3506		
	Public Health Genomics	1662-4246		
	Public Health Nursing	0737-1209	1525-1446	
	Public Health Nutrition	1368-9800		
	Public Opinion Quarterly	0033-362X		
	Public Relations Review	0363-8111		
	Public Understanding of Science	0963-6625		
	Public health reports	0033-3549		
	Publications of the Astronomical Society of Australia	1323-3580		
	Publications of the Astronomical Society of Japan	Apr-64		
	Publications of the Astronomical Society of the Pacific	Apr-80		
	Puerto Rico health sciences journal	0738-0658		
	Pulmonary pharmacology & therapeutics	1094-5539		
	Punishment and Society-International Journal of Penology	1462-4745		
	Pure and Applied Chemistry	0033-4545		
	Pure and Applied Mathematics Quarterly	1558-8599		
	QRC advisor	0747-7384		
	Qjm-An International Journal of Medicine	1460-2725		
	Qme-Quantitative Marketing and Economics	1570-7156		
	Quaderni D Italianistica	0226-8043		
	Qualitative Inquiry	1077-8004		
	Qualitative Research	1468-7941		
	Qualitative Sociology	0162-0436		
	Qualitative health research	1049-7323		
	Quality Engineering	0898-2112		
	Quality Technology and Quantitative Management	1684-3703		
	Quality and Quantity	0033-5177		
	Quality and Reliability Engineering International	0748-8017		
	Quality of Life Research	0962-9343	1573-2649	
	Quarterly Journal of Experimental Psychology	1747-0218	1747-0226	
	Quarterly Review of Biology	0033-5770		
	Quaternary International	1040-6182		
	Quaternary Research	0033-5894		
	Quaternary Science Reviews	0277-3791		
	Queueing Systems	0257-0130		
	Quintessence International	0033-6572	1936-7163	
	RN	0033-7021	1938-145X	
	RNA Biology	1547-6286	1555-8584	
	Radiation Effects and Defects in Solids	1042-0150		
	Radiation Measurements	1350-4487		
	Radiation Oncology	1748-717X		
	Radiation Research	0033-7587		
	Radiation and Environmental Biophysics	0301-634X	1432-2099	
	Radiation oncology investigations	1065-7541		
	Radiation protection dosimetry	0144-8420		
	Radical History Review	0163-6545		
	Radio Science	0048-6604		
	Radiocarbon	0033-8222		
	Radiographics	0271-5333		
	Radiologic Clinics of North America	0033-8389	1557-8275	
	Radiology	0033-8419	1527-1315	
	Radiotherapy and Oncology	0167-8140		
	Raffles Bulletin of Zoology	0217-2445		
	Ramanujan Journal	1382-4090		
	Rand Journal of Economics	0741-6261		
	Rangeland Ecology and Management	1550-7424		
	Rapid communications in mass spectrometry : RCM	0951-4198		
	Raritan-a Quarterly Review	0275-1607		
	Rbgn-Revista Brasileira De Gestao De Negocios	1806-4892		
	Reading Research Quarterly	0034-0553	1936-2722	
	Reading Teacher	0034-0561		
	Reading and Writing	0922-4777		
	Real Estate Economics	1080-8620		
	Recent patents on CNS drug discovery	1574-8898		
	Recent patents on nanotechnology	1872-2105		
	Reference and User Services Quarterly	1094-9054		
	Regenerative Medicine	1746-0751		
	Regional Anesthesia and Pain Medicine	1098-7339	1532-8651	
	Regional Environmental Change	1436-3798		
	Regional Science and Urban Economics	0166-0462		
	Regional Studies	0034-3404	1360-0591	
	Regional anesthesia	1098-7339		
	Regulatory Toxicology and Pharmacology	0273-2300	1096-0295	
	Regulatory peptides	0167-0115		
	Rehabilitation Counseling Bulletin	0034-3552		
	Rehabilitation Psychology	0090-5550		
	Rehabilitation nursing	0278-4807		
	Rejuvenation research	1549-1684		
	Reliability Engineering and System Safety	0951-8320		
	Religion	0048-721X		
	Religions	2077-1444		
	Religious Studies Review	0319-485X		
	Remedial and Special Education	0741-9325		
	Remote Sensing	2072-4292		
	Remote Sensing Letters	2150-704X		
	Remote Sensing of Environment	0034-4257		
	Renaissance Quarterly	0034-4338		
	Renaissance and Reformation	0034-429X		
	Renal Failure	0886-022X		
	Renewable Agriculture and Food Systems	1742-1705		
	Renewable Energy	0960-1481		
	Reports On Progress in Physics	0034-4885		
	Reproduction	1470-1626		
	Reproduction in Domestic Animals	0936-6768	1439-0531	
	"Reproduction	 fertility	 and development"	1031-3613		
	Reproduction. Supplement	1477-0415		
	Reproductive Sciences	1933-7191		
	Reproductive biology and endocrinology RB & E	1477-7827		
	Research On Aging	0164-0275		
	Research On Social Work Practice	1049-7315		
	Research Policy	0048-7333		
	Research and Practice for Persons With Severe Disabilities	0274-9483		
	Research and theory for nursing practice	1541-6577		
	Research in African Literatures	0034-5210		
	Research in Dance Education	1464-7893		
	Research in Developmental Disabilities	0891-4222		
	Research in Gerontological Nursing	1940-4921		
	Research in Human Development	1542-7609		
	Research in Nursing and Health	0160-6891	1098-240X	
	Research in Science Education	0157-244X		
	Research in Sports Medicine	1543-8627		
	Research in microbiology	0923-2508		
	Research in social and administrative pharmacy RSAP	1551-7411		
	Research in the Teaching of English	0034-527X		
	Research in veterinary science	0034-5288		
	Research quarterly for exercise and sport	0270-1367		
	Resource and Energy Economics	0928-7655		
	Resources Conservation and Recycling	0921-3449		
	Respiration	0025-7931	1423-0356	
	Respiratory Care	0020-1324		
	Respiratory Medicine	0954-6111	1532-3064	
	Respiratory Physiology &amp; Neurobiology	1569-9048		
	Respiratory Physiology and Neurobiology	1569-9048		
	Respiratory Research	1465-993X		
	Respiratory Research	1465-9921	1465-993X	
	Respirology	1323-7799	1440-1843	
	Restoration Ecology	1061-2971		
	Restorative neurology and neuroscience	0922-6028		
	Resuscitation	0300-9572		
	Retina	0275-004X	1539-2864	
	Retrovirology	1742-4690		
	Review of Accounting Studies	1380-6653		
	Review of African Political Economy	0305-6244		
	Review of Agricultural Economics	1058-7195	1467-9353	
	Review of Development Economics	1363-6669		
	Review of Economic Studies	0034-6527		
	Review of Educational Research	0034-6543		
	Review of English Studies	0034-6551		
	Review of Finance	1572-3097		
	Review of Financial Studies	0893-9454		
	Review of General Psychology	1089-2680		
	Review of Higher Education	0162-5748		
	Review of Industrial Organization	0889-938X		
	Review of International Economics	0965-7576		
	Review of International Organizations	1559-7431		
	Review of International Political Economy	0969-2290		
	Review of International Studies	0260-2105		
	Review of Metaphysics	0034-6632		
	Review of Network Economics	1446-9022		
	Review of Palaeobotany and Palynology	0034-6667		
	Review of Policy Research	1541-132X		
	Review of Radical Political Economics	0486-6134		
	Review of Scientific Instruments	0034-6748		
	Reviews in American History	0048-7511		
	Reviews in Cardiovascular Medicine	1530-6550		
	Reviews in Fish Biology and Fisheries	0960-3166		
	Reviews in Fisheries Science	1064-1262		
	Reviews in Fisheries Science and Aquaculture	2330-8249		
	Reviews in Toxicology	1382-6980		
	Reviews in endocrine and metabolic disorders	1389-9155		
	Reviews in the Neurosciences	0334-1763		
	Reviews of Modern Physics	0034-6861		
	Revista Argentina De Microbiologia	0325-7541		
	Revista Arvore	0100-6762		
	Revista Brasileira De Ciencia Do Solo	0100-0683		
	Revista Brasileira De Entomologia	0085-5626		
	Revista Brasileira De Fruticultura	0100-2945		
	Revista Brasileira De Historia	0102-0188		
	Revista Brasileira De Paleontologia	1519-7530		
	Revista Brasileira De Zootecnia-Brazilian Journal of Animal Science	1516-3598		
	Revista Chilena De Historia Natural	0716-078X		
	Revista Cientifica-Facultad De Ciencias Veterinarias	0798-2259		
	Revista Colombiana De Ciencias Pecuarias	0120-0690		
	Revista Colombiana De Entomologia	0120-0488		
	Revista Colombiana De Estadistica	0120-1751		
	Revista Da Sociedade Brasileira De Medicina Tropical	0037-8682		
	Revista De Biologia Marina Y Oceanografia	0717-3326		
	Revista De Estudios Hispanicos	0034-818X		
	Revista De La Construccion	0717-7925		
	Revista De La Real Academia De Ciencias Exactas Fisicas Y Naturales Serie A-Matematicas	1578-7303		
	Revista De Neurologia	0210-0010		
	Revista Espanola De Cardiologia	0300-8932		
	Revista Matematica Iberoamericana	0213-2230		
	Revista Mexicana De Biodiversidad	1870-3453		
	Revista Mexicana De Ciencias Geologicas	1026-8774		
	Revista Mexicana De Ciencias Pecuarias	2007-1124		
	Revista Mvz Cordoba	0122-0268		
	Revista de biologia tropical	0034-7744		
	Revista espanola de cardiologi­a : publicacion oficial de la Sociedad Espanola de Cardiologia	1579-2242		
	Revista espanola de enfermedades digestivas	1130-0108		
	Revue Des Maladies Respiratoires	0761-8425		
	Revue Francaise De Linguistique Appliquee	1386-1204		
	Revue Neurologique	0035-3787		
	Revue Scientifique Et Technique-Office International Des Epizooties	0253-1933		
	Revue Veterinaire Canadienne	Aug-86		
	Rheologica Acta	0035-4511		
	Rheumatic Disease Clinics of North America	0889-857X	1558-3163	
